sku,category,service_level,avg_daily_demand,demand_std,lead_time_demand,safety_stock,reorder_point,order_up_to_level,average_inventory,holding_cost,ordering_cost,stockout_cost,total_inventory_cost,model
SKU-01,Beverages,90%,125.95075380933,21.768355435747296,881.65527666531,73.71987831532599,955.375154980636,1837.030431645946,514.547516647981,257.2737583239905,656743.2162915064,261.15437747002005,657261.6444273004,Seasonal + Promo
SKU-01,Beverages,95%,125.95075380933,21.768355435747296,881.65527666531,95.02953064084988,976.6848073061599,1858.34008397147,535.8571689735049,267.92858448675247,656743.2162915064,154.60611584240056,657165.7509918355,Seasonal + Promo
SKU-01,Beverages,99%,125.95075380933,21.768355435747296,881.65527666531,134.1932159958668,1015.8484926611768,1897.5037693264867,575.0208543285219,287.51042716426093,656743.2162915064,0.0,657030.7267186707,Seasonal + Promo
SKU-02,Snacks,90%,92.92288069841081,16.4048689523361,650.4601648888756,55.556100529262125,706.0162654181378,1356.4764303070133,380.78618297369997,190.39309148684998,484526.4493559992,186.83390084574341,484903.67634833173,Seasonal + Promo
SKU-02,Snacks,95%,92.92288069841081,16.4048689523361,650.4601648888756,71.61528583850195,722.0754507273775,1372.5356156162532,396.8453682829398,198.4226841414699,484526.4493559992,106.5379742995443,484831.41001444025,Seasonal + Promo
SKU-02,Snacks,99%,92.92288069841081,16.4048689523361,650.4601648888756,101.12946424467246,751.5896291335481,1402.0497940224236,426.3595466891103,213.17977334455514,484526.4493559992,0.0,484739.6291293437,Seasonal + Promo
SKU-03,Household,90%,66.77722317502293,13.435488809513473,467.4405622251605,45.5001115296818,512.9406737548422,980.3812359800028,279.220392642262,139.610196321131,348195.52084119094,106.38555822670561,348441.5165957388,Seasonal + Promo
SKU-03,Household,95%,66.77722317502293,13.435488809513473,467.4405622251605,58.65248751873044,526.0930497438909,993.5336119690514,292.3727686313107,146.18638431565535,348195.52084119094,40.62367828146243,348382.33090378804,Seasonal + Promo
SKU-03,Household,99%,66.77722317502293,13.435488809513473,467.4405622251605,82.8244217688739,550.2649839940344,1017.7055462191948,316.54470288145416,158.27235144072708,348195.52084119094,0.0,348353.7931926317,Seasonal + Promo
SKU-04,Personal Care,90%,51.728358851635704,8.8953479965668,362.09851196144996,30.124644639094264,392.2231566005442,754.3216685619942,211.17390061981925,105.58695030990962,269726.44258352905,108.0185710627072,269940.0481049017,Seasonal + Promo
SKU-04,Personal Care,95%,51.728358851635704,8.8953479965668,362.09851196144996,38.83254973008244,400.9310616915324,763.0295736529823,219.8818057108074,109.9409028554037,269726.44258352905,64.47904560776632,269900.86253199226,Seasonal + Promo
SKU-04,Personal Care,99%,51.728358851635704,8.8953479965668,362.09851196144996,54.83626719460128,416.93477915605126,779.0332911175012,235.88552317532626,117.94276158766313,269726.44258352905,0.0,269844.3853451167,Seasonal + Promo
SKU-05,Frozen,90%,73.84874530046442,13.356646285651202,516.9412171032509,45.23310645976021,562.1743235630111,1079.115540666262,303.70371501138567,151.85185750569283,385068.4576381359,143.07819420352104,385363.38768984505,Seasonal Baseline
SKU-05,Frozen,95%,73.84874530046442,13.356646285651202,516.9412171032509,58.30830129578464,575.2495183990355,1092.1907355022863,316.7789098474101,158.38945492370505,385068.4576381359,77.7022200233989,385304.54931308294,Seasonal Baseline
SKU-05,Frozen,99%,73.84874530046442,13.356646285651202,516.9412171032509,82.33838910253226,599.2796062057831,1116.2208233090341,340.8089976541577,170.40449882707884,385068.4576381359,0.0,385238.86213696294,Seasonal Baseline
SKU-06,Bakery,90%,52.226440921533104,11.531729013138465,365.58508645073175,39.05291155885142,404.63799800958316,770.2230844603149,221.84545478421728,110.92272739210864,272323.5848051369,65.86764681340841,272500.3751793424,Seasonal + Promo
SKU-06,Bakery,95%,52.226440921533104,11.531729013138465,365.58508645073175,50.34164380633191,415.92673025706364,781.5118167077954,233.1341870316978,116.5670935158489,272323.5848051369,9.423985576005975,272449.57588422875,Seasonal + Promo
SKU-06,Bakery,99%,52.226440921533104,11.531729013138465,365.58508645073175,71.08850307197173,436.6735895227035,802.2586759734352,253.8810462973376,126.9405231486688,272323.5848051369,0.0,272450.5253282856,Seasonal + Promo
